"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"17163","Saint Clair County, IL",".",".","39","9","0.08","0.065","8","3","1","22","9.5",".",".","."
"17167","Sangamon County, IL",".",".",".",".","0.07","0.067",".",".",".","18","7.6",".",".","."
"17179","Tazewell County, IL",".",".",".",".",".",".","14","3","1",".",".",".",".","."
"17185","Wabash County, IL",".",".",".",".",".",".","49","8","1",".",".",".",".","."
"17197","Will County, IL",".",".",".",".","0.08","0.067",".",".",".","21","9.8",".",".","."
"17201","Winnebago County, IL",".",".",".",".","0.08","0.067",".",".",".","21","9.1",".",".","."
"18003","Allen County, IN",".",".",".",".","0.07","0.065",".",".",".","18","8.3",".",".","."
"18005","Bartholomew County, IN",".",".",".",".","0.07","0.065",".",".",".","16","6.7",".",".","."
"18011","Boone County, IN",".",".",".",".","0.08","0.069",".",".",".",".",".",".",".","."
"18013","Brown County, IN",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"18015","Carroll County, IN",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"18019","Clark County, IN",".",".",".",".","0.07","0.062",".",".",".","23","9.7","39","19","."
"18027","Daviess County, IN",".",".",".",".",".",".","11","2","0",".",".",".",".","."
"18035","Delaware County, IN",".",".",".",".","0.07","0.062",".",".",".","17","8",".",".","0.05"
"18037","Dubois County, IN",".",".",".",".",".",".",".",".",".","16","8.4","25","14","."
"18039","Elkhart County, IN",".",".",".",".","0.07","0.062",".",".",".","20","8.2",".",".","."
"18043","Floyd County, IN",".",".",".",".","0.08","0.066","5","2","1",".",".",".",".","."
"18051","Gibson County, IN",".",".",".",".",".",".","59","13","2",".",".",".",".","."
"18055","Greene County, IN",".",".",".",".","0.07","0.064",".",".",".","17","7.5",".",".","."
"18057","Hamilton County, IN",".",".",".",".","0.07","0.063",".",".",".","20","9.4",".",".","."
"18063","Hendricks County, IN",".",".",".",".","0.07","0.063",".",".",".",".",".",".",".","."
"18065","Henry County, IN",".",".",".",".",".",".",".",".",".","16","7.3",".",".","."
"18067","Howard County, IN",".",".",".",".","0.08","0.064",".",".",".","15","6.7",".",".","."
"18083","Knox County, IN",".",".",".",".","0.07","0.065",".",".",".",".",".",".",".","."
"18089","Lake County, IN",".",".",".",".","0.09","0.074","32","9","2","20","9.8","59","20","0.01"
"18091","LaPorte County, IN",".",".",".",".","0.09","0.079",".",".",".",".",".",".",".","."
"18095","Madison County, IN",".",".",".",".","0.07","0.059",".",".",".","19","8.3",".",".","."
"18097","Marion County, IN","2.6","1.8","39","11","0.08","0.067","6","2","0","30","11","65","27","."
"18105","Monroe County, IN",".",".",".",".",".",".",".",".",".","19","7.5",".",".","."
"18123","Perry County, IN",".",".",".",".","0.07","0.065",".",".",".",".",".",".",".","."
"18127","Porter County, IN",".",".",".",".","0.09","0.076","81","15","1",".",".","64","18","."
"18129","Posey County, IN",".",".",".",".","0.08","0.064",".",".",".",".",".",".",".","."
"18141","St. Joseph County, IN",".",".",".","4","0.08","0.067",".",".",".","25","9.5",".",".","."
"18145","Shelby County, IN",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"18147","Spencer County, IN",".",".",".",".",".",".",".",".",".","17","8",".",".","."
"18157","Tippecanoe County, IN",".",".",".",".",".",".",".",".",".","18","9.3",".",".","."
"18163","Vanderburgh County, IN","1.5","0.9","30","7","0.08","0.067","7","2","1","19","9.1","25","14","."
"18167","Vigo County, IN",".",".",".",".","0.07","0.064","4","2","1","22","8.1",".",".","."
"18169","Wabash County, IN",".",".",".",".","0.07","0.067",".",".",".",".",".",".",".","."
"18173","Warrick County, IN",".",".",".",".","0.08","0.066",".",".",".",".",".",".",".","."
"18183","Whitley County, IN",".",".",".",".",".",".",".",".",".","20","9.7",".",".","."
"19013","Black Hawk County, IA",".",".",".",".",".",".",".",".",".","22","7.9",".",".","."
"19017","Bremer County, IA",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"19033","Cerro Gordo County, IA",".",".",".",".",".",".",".",".",".",".",".","68","22","."
"19045","Clinton County, IA",".",".",".",".","0.07","0.062","19","8","1","22","8.5",".",".","."
"19085","Harrison County, IA",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"19103","Johnson County, IA",".",".",".",".",".",".",".",".",".","19","7.6",".",".","."
"19111","Lee County, IA",".",".",".",".",".",".",".",".",".","17","7.8",".",".","."
"19113","Linn County, IA",".",".",".",".","0.07","0.064","43","13","0","22","9.4","62","21","."
"19137","Montgomery County, IA",".",".",".",".","0.06","0.056",".",".",".","15","6.7",".",".","."
"19139","Muscatine County, IA",".",".",".",".",".",".","20","9","1","22","8.2","39","18","."
"19147","Palo Alto County, IA",".",".",".",".","0.07","0.063",".",".",".","19","7.1",".",".","."
"19153","Polk County, IA",".",".","33","6","0.07","0.057",".",".",".","17","7.6","61","19","."
"19155","Pottawattamie County, IA",".",".",".",".",".",".",".",".",".","24","8.2","68","22","."
"19163","Scott County, IA","0.8","0.5",".",".","0.07","0.061","4","1","1","21","9.2","159","37","."
"19177","Van Buren County, IA",".",".","7","2","0.07","0.059","1","1","0","17","6.8","36","15","."
"19193","Woodbury County, IA",".",".",".",".",".",".",".",".",".","21","7.6",".",".","."
"20091","Johnson County, KS",".",".",".",".","0.07","0.055",".",".",".",".",".",".",".","."
"20103","Leavenworth County, KS",".",".",".",".","0.07","0.059",".",".",".",".",".",".",".","."
"20133","Neosho County, KS",".",".","16","3","0.06","0.057","3","2","1","21","8.7","103","23","."
"20169","Saline County, KS",".",".",".",".",".",".",".",".",".",".",".",".",".","0.05"
"20173","Sedgwick County, KS",".",".","34","6","0.07","0.06",".",".",".",".",".","95","19","."
"20177","Shawnee County, KS",".",".",".",".","0.07","0.057",".",".",".",".",".",".",".","."
"20191","Sumner County, KS",".",".","22","3","0.07","0.059","3","2","1","24","8.9","139","27","."
"20195","Trego County, KS",".",".","4","1","0.07","0.059","4","1","0",".",".",".",".","."
